,X,Y,ilmenite,magnetite,hematite,pyroxene,feldspar,apatite,graphite
21,3.09739,0.0,0.0,46.97228157184989,44.73193933020566,42.936255622620266,69.41716787612623,29.74889077622333,45.296962835562994
22,3.09739,1.5599100000000004,0.0,41.070555603704406,0.0,48.43185905798755,75.28068198791485,30.14313256412126,37.76541913503655
23,3.09739,3.11981,0.0,27.47096760719046,37.640484588589885,35.99966816683791,63.637744911559,29.66230131258256,32.9556120843293
24,3.09739,4.6797200000000005,0.0,0.0,0.0,41.1602267819829,66.08034051293522,32.156215006403215,42.27670274906595
25,3.09739,6.23962,0.0,38.09651664073732,0.0,52.26540962262706,54.301325704460254,46.37367746418428,54.5556756999292
26,3.09739,7.799523000000001,0.0,0.0,0.0,48.407224933132994,61.08305879634504,36.09212578823088,57.85672818397671
27,3.09739,9.35943,0.0,0.0,0.0,46.41854660068549,60.88755329098744,36.01976583725616,46.16436658001996
28,3.09739,10.91933,37.76287552728718,31.831923215337422,0.0,30.10249955564275,32.0704037318375,30.10249955564275,41.70300138376086
29,3.09739,12.47923,49.46256587308453,45.41098177553144,0.0,41.14109872509255,38.77076881557042,25.21231472694552,41.57807424238625
30,3.09739,14.03914,0.0,0.0,0.0,68.8375312153052,87.80501747924691,59.82392990215166,74.80943388311636
31,4.64608,0.0,0.0,0.0,28.936262895040382,40.27175214216719,66.28476546278145,29.49795629977349,29.299660849995504
32,4.64608,1.5599100000000004,37.53453901385352,33.54075572256106,0.0,37.329618504440674,59.25609795664863,28.84783704399902,34.0213653682284
33,4.64608,3.11981,0.0,51.614736050138106,0.0,37.4211929801281,49.9812944059584,27.541778135412343,42.781441714694296
34,4.64608,4.6797200000000005,0.0,0.0,0.0,45.31482413816494,56.264843965915546,26.03385130392823,61.09939264741638
35,4.64608,6.23962,50.77279714237648,47.40486281625337,55.58578164490427,52.49853211744909,62.29518391559111,47.56992281543688,54.47465214808017
36,4.64608,7.799523000000001,0.0,64.65309200330333,0.0,59.26572655626666,67.93648730504952,42.10688086707231,68.92920991522595
37,4.64608,9.35943,45.017606965254345,45.65634384170468,67.58233856339251,56.64977443168601,45.66161778400726,34.33619140858403,58.07917643646286
38,4.64608,10.91933,46.15181815209155,0.0,0.0,64.99648220383511,46.06077829299713,54.46376710091343,58.513990742067136
39,4.64608,12.47923,45.63169884151839,50.29922729333515,0.0,57.12060147104253,72.61996520468685,47.25258370563071,59.17160550122776
40,4.64608,14.03914,0.0,0.0,66.34763523778179,56.82881124977172,81.78867789535653,37.82864610084462,63.75580677462645
