R	S_avg	S_std	S_avg_smooth	S_sum
2.730470000000000255e+02	8.600000000000000000e+01	3.974921382870358144e+01	8.636410256410302111e+01	5.160000000000000000e+02
2.761209999999999809e+02	8.833333333333332860e+01	3.701201006280108885e+01	8.891583710407287811e+01	5.300000000000000000e+02
2.791960000000000264e+02	9.133333333333332860e+01	3.507452383457574996e+01	9.477526395173504170e+01	5.480000000000000000e+02
2.822669999999999959e+02	9.566666666666667140e+01	4.030577570963689737e+01	1.017212669683263471e+02	5.740000000000000000e+02
2.853399999999999750e+02	1.060000000000000000e+02	3.542127421009394794e+01	1.091116138763203338e+02	6.360000000000000000e+02
2.884100000000000250e+02	1.056666666666666714e+02	3.683144791554569508e+01	1.169568627450986469e+02	6.340000000000000000e+02
2.914800000000000182e+02	1.220000000000000000e+02	3.208322510804256922e+01	1.235589743589750356e+02	7.320000000000000000e+02
2.945480000000000018e+02	1.480000000000000000e+02	3.318634257240971408e+01	1.289197586727005387e+02	8.880000000000000000e+02
2.976150000000000091e+02	1.443333333333333428e+02	3.539146161937304669e+01	1.311625942684773065e+02	8.660000000000000000e+02
3.006800000000000068e+02	1.340000000000000000e+02	3.854002248745235448e+01	1.310874811463053788e+02	8.040000000000000000e+02
3.037470000000000141e+02	1.313333333333333428e+02	3.938978999125986036e+01	1.287088989441937485e+02	7.880000000000000000e+02
3.068100000000000023e+02	1.226666666666666714e+02	4.539701409662191622e+01	1.241936651583716866e+02	7.360000000000000000e+02
3.098729999999999905e+02	1.116666666666666714e+02	4.081530214134018308e+01	1.189318250377080233e+02	6.700000000000000000e+02
3.129340000000000259e+02	1.040000000000000000e+02	4.267708206207792188e+01	1.117369532428361936e+02	6.240000000000000000e+02
3.159950000000000045e+02	1.013333333333333286e+02	4.574810257146069858e+01	1.045107088989447561e+02	6.080000000000000000e+02
3.190539999999999736e+02	1.010000000000000000e+02	4.423799272118932890e+01	1.008953242835601287e+02	6.060000000000000000e+02
3.221150000000000091e+02	9.933333333333332860e+01	4.465671530937112976e+01	9.836168929110158388e+01	5.960000000000000000e+02
3.251720000000000255e+02	9.800000000000000000e+01	4.245782220824175113e+01	9.617375565610910826e+01	5.880000000000000000e+02
3.282289999999999850e+02	9.766666666666667140e+01	4.251143636978433449e+01	9.469019607843188169e+01	5.860000000000000000e+02
3.312819999999999823e+02	9.300000000000000000e+01	3.991240408695021102e+01	9.345912518853745610e+01	5.580000000000000000e+02
3.343360000000000127e+02	9.133333333333332860e+01	3.982740541665025091e+01	9.259095022624482851e+01	5.480000000000000000e+02
3.373899999999999864e+02	9.533333333333332860e+01	4.535293693785320102e+01	9.183438914027199473e+01	5.720000000000000000e+02
3.404420000000000073e+02	8.966666666666667140e+01	4.251143636978433449e+01	9.166334841629009134e+01	5.380000000000000000e+02
3.434940000000000282e+02	8.866666666666667140e+01	3.910100879630714132e+01	9.156561085972900571e+01	5.320000000000000000e+02
3.465439999999999827e+02	8.766666666666667140e+01	3.790192020934500761e+01	9.109834087481195297e+01	5.260000000000000000e+02
3.495910000000000082e+02	9.166666666666667140e+01	3.901139434689419971e+01	9.127993966817544447e+01	5.500000000000000000e+02
3.526399999999999864e+02	9.666666666666667140e+01	4.712630782152245956e+01	9.153212669683306046e+01	5.800000000000000000e+02
3.556870000000000118e+02	9.533333333333332860e+01	4.443222054120435160e+01	9.182895927601859398e+01	5.720000000000000000e+02
3.587309999999999945e+02	9.433333333333332860e+01	4.143133543051147427e+01	9.248898944193112470e+01	5.660000000000000000e+02
3.617760000000000105e+02	8.933333333333332860e+01	4.006106450019630927e+01	9.412247360482703584e+01	5.360000000000000000e+02
3.648210000000000264e+02	9.033333333333332860e+01	3.244311260584525769e+01	9.556802413273051400e+01	5.420000000000000000e+02
3.678620000000000232e+02	9.700000000000000000e+01	4.401136216933077350e+01	9.683710407239868800e+01	5.820000000000000000e+02
3.709039999999999964e+02	9.500000000000000000e+01	3.862210075418822441e+01	9.703197586727048929e+01	5.700000000000000000e+02
3.739440000000000168e+02	1.003333333333333286e+02	4.331922847368770846e+01	9.739698340874862481e+01	6.020000000000000000e+02
3.769839999999999804e+02	1.020000000000000000e+02	4.011649702221435376e+01	9.777888386123731834e+01	6.120000000000000000e+02
3.800210000000000150e+02	1.010000000000000000e+02	4.151706476458405604e+01	9.733574660633536269e+01	6.060000000000000000e+02
3.830570000000000164e+02	9.866666666666667140e+01	4.557289642856693490e+01	9.703891402714984338e+01	5.920000000000000000e+02
